dim	coefficient
253	-0.03412926398015894
254	0.04311773920594664
255	-0.09265980350939301
256	-0.02810254730151133
257	-0.10777412625334751
258	0.02384540305366644
259	-0.14440461999210072
260	-0.04561595137564146
261	-0.061074477244766084
262	-0.07821937547285066
263	0.032813131134191334
264	0.029401750884093924
265	-0.035755777189176996
266	-0.07599808324413339
267	0.06409868287584251
268	0.01431416783887398
269	-0.039259666860826416
270	-0.0715389378233606
271	-0.08003958648870013
272	-0.11701931445698056
273	-0.21425496367221977
274	-0.023797406821468997
275	-0.0728226368637253
276	0.025421632358417004
277	-0.10838409022379249
278	-0.13842732586519385
279	0.07219028187176055
280	-0.12877021967105062
281	-0.0648241862325874
282	0.08920741477989
283	-0.16507639726158893
284	-0.17776811258319722
285	0.003589710727131599
286	-0.07333947702126106
287	-0.07133064012842032
288	-0.11744189952971679
289	-0.053353112457609646
290	-0.04366794694698525
291	-0.06640391435380807
292	-0.09291755021379747
293	-0.1905010564118466
294	0.01693899246585625
295	-0.08753404772217036
296	-0.04343068518925054
297	-0.036135784802142176
298	0.01784446943901282
299	-0.057904102800044634
300	-0.02797227025456281
301	0.003903081586286293
302	-0.14637307357307894
303	0.011209622464684413
304	-0.044330289235489026
305	-0.0490293253360807
306	0.004725045389082802
307	-0.12142167837458209
308	-0.11578934024392276
309	-0.043048345711749154
310	-0.023563715936828093
311	-0.031135636167907266
312	-0.03421903469996246
313	-0.09247202344203036
314	-0.10174571041033802
315	-0.07355740838108703
316	-0.015031710310285834
317	-0.09247166885464728
318	-0.03181503979109357
319	-0.09402564721636358
320	-0.05132084694407091
321	-0.0673090028246322
322	-0.020045755980025795
323	-0.07629364233650959
324	-0.027873589276238224
325	-0.12623768777384076
326	-0.08851140414169695
327	-0.05369756130091689
328	0.0016999550836926426
329	-0.012293355521135071
330	-0.08073401906575553
331	-0.06383114326640575
332	-0.14841628332565304
333	-0.07024273196116936
334	-0.0069325912375672455
335	-0.09242747432383148
336	-0.08798454719155455
337	-0.12514334691321977
338	-0.04460342720403217
339	-0.027175141915694867
340	-0.18505976289014595
341	0.009962368337557231
342	-0.03431979041520626
343	-0.07647741677394217
344	0.018787005422205794
345	-0.14168720032179433
346	-0.014972992764903974
347	0.019222160883571923
348	0.018024863243473202
349	-0.07326449742565411
350	-0.05836756734075669
351	-0.12834000970076628
352	-0.023318826222643273
353	-0.18353818088314738
354	-0.07948614861876967
355	-0.033512782320928816
356	-0.07304359084532382
357	-0.03744841234313935
358	-0.010264241957186369
359	-0.21183900222943078
360	-0.061336574479859955
361	-0.059220771899710416
362	-0.014515863831391577
363	-0.09678645079430825
364	-0.14270830931475384
365	-0.0902565699004738
366	-0.04370408510934342
367	0.0066241338776384245
368	-0.022879196449357424
369	-0.10072905721178
370	-0.14573113243944255
371	-0.1717950151932763
372	-0.028062546404526618
373	0.002402204112798999
374	-0.07040957040157805
375	0.03685877795461407
376	-0.0715686077086456
377	0.002915280948618596
378	-0.0068700619420928935
379	-0.03163118134822446
380	-0.06122391775792067
381	-0.09244182313674615
382	-0.08487156278773456
383	-0.0028306112828523668
384	-0.0703510567846816
385	0.027147160914169043
386	-0.026283865791165237
387	0.0133440409558973
388	-0.08140485160414562
389	-0.013818630094878664
390	-0.05975042857227622
391	-0.060366045705465554
392	-0.028294941609727946
393	-0.13837631773474862
394	-0.014242795465969675
395	-0.10249618332658242
396	-0.011377470125241292
397	-0.05075303729698964
398	0.011916870733618669
399	0.011913975683430257
400	-0.012133284029561417
401	-0.020863373190685888
402	0.015355443506661851
403	-0.07201634892308467
404	-0.044948283096621994
405	-0.10017368879059456
406	-0.05976143039985306
407	0.021695686851639973
408	-0.042709261861866826
409	-0.06321693936005333
410	-0.03575078297441789
411	-0.05535720647497035
412	0.04198442708370627
413	-0.08352402655558147
414	-0.11459610731934514
415	-0.12034021228895908
416	-0.0004942050322891481
417	0.0214357493722087
418	-0.0867529454971939
419	-0.005114840661670589
420	-0.12287398953148086
421	-0.024510470298466716
422	-0.04471949772090412
423	-0.027008685365339832
424	-0.05179181579504202
425	-0.08454959540342909
426	-0.03841145811588059
427	-0.07179021071072104
428	0.062179631759318156
429	0.05234612504286505
430	-0.057176271342697156
431	-0.0902910369002098
432	-0.018835758195445706
433	-0.05576747159521304
434	-0.08482074551063429
435	-0.03329699748652777
436	-0.05125246164728937
437	-0.12979439487360298
438	-0.06191466920258712
439	-0.07636911441773062
440	-0.056449550552021124
441	-0.07654534213955562
442	-0.08320147709829609
443	-0.027488492915934283
444	-0.023520052416295192
445	-0.0731416983455229
446	-0.09669771792137767
447	0.02043973915690665
448	0.013918571634705876
449	-0.1442008484895044
450	-0.039678798151301466
451	-0.004369757799289095
452	-0.16809935355198996
453	-0.11467388490622496
454	0.013292444485909601
455	0.008074218177060775
456	-0.10726824118297491
457	-0.1873826856187445
458	-0.06918012538512931
459	-0.10418734713415251
460	-0.023631281489262718
461	-0.09439819353714166
462	-0.039081778979740044
463	-0.10325808111075738
464	-0.08839802216165073
465	-0.09425899146150674
466	-0.04712793978834157
467	-0.00047298633634296205
468	0.007271663041353085
469	-0.007489684333264995
470	-0.1392112387954692
471	-0.09507508978023953
472	-0.0397889412262566
473	-0.07311642355665121
474	-0.01668304880869218
475	0.038653799380294174
476	0.0016160210367158062
477	-0.018999041913956634
478	-0.02977318661405671
479	0.006168436640583776
480	0.08520147183274238
481	-0.06666286416341693
482	-0.11798816844680944
483	-0.13053584349365194
484	-0.03540737776879292
485	-0.00021999265927684364
486	-0.09886255154789579
487	-0.029642144686178235
488	-0.1314044199858039
489	0.010295716491176166
490	-0.08031767242717268
491	-0.05717493167961972
492	-0.036081776243585134
493	0.014342075458323642
494	-0.03651131712183145
495	-0.10742529675771753
496	-0.14151843219214733
497	-0.022705704682672696
498	-0.03678587691314296
499	-0.04188279743027894
500	-0.06486283304684537
501	-0.023615099034270108
502	-0.07879198923461683
503	-0.09397428409916718
504	-0.02876332932533928
505	0.02452096616528188
506	0.04603425660749934
507	0.00014624787605840156
508	-0.11293397217602479
509	-0.0791885666319962
510	-0.08828866488236979
511	-0.06022240727995817
512	-0.09757563900071503
513	-0.03079791547738034
514	-0.11430788882991999
515	-0.010422461863585357
516	-0.061763461014032975
517	0.004943813674179183
518	-0.12603840577574843
519	0.007368416542113827
520	-0.10501807250677198
521	-0.02324312723763059
522	-0.05553807731838349
523	-0.012455092851161073
524	-0.09494310857055456
525	0.0178656582642383
526	-0.12419004688006664
527	0.00035150919900405614
528	-0.023318655982512017
529	-0.09832403113163957
530	-0.1197297350205439
531	-0.04598565837759572
532	-0.030394975914687126
533	-0.1256521058395808
534	-0.04167916835241081
535	-0.08728257809192737
536	-0.009846622431186763
537	-0.10337117781445768
